Date,Open,High,Low,Close,Adj Close,Volume
2017-08-01,0.104595,2.955450,0.096109,2.203790,2.203790,786763181
2017-09-01,2.201690,2.849270,0.526755,1.283580,1.283580,221387190
2017-10-01,1.284180,2.032950,1.096050,1.312890,1.312890,153469470
2017-11-01,2.053140,2.174230,1.462560,1.996970,1.996970,371780810
2017-12-01,1.996950,11.302200,1.922970,8.635580,8.635580,1722931600
2018-01-01,8.629530,24.912100,7.959220,11.145000,11.145000,5901238384
2018-02-01,11.178300,11.870700,5.590070,10.438200,10.438200,1811644896
2018-03-01,10.448200,14.838700,7.174230,11.055900,11.055900,2934023616
2018-04-01,11.151900,15.925900,10.378300,14.312100,14.312100,3189054696
2018-05-01,14.314600,16.220501,11.703100,14.190200,14.190200,2260288580
2018-06-01,14.251700,17.438101,13.544400,14.657300,14.657300,2580554212
2018-07-01,14.676200,14.869400,11.648400,13.775400,13.775400,1467978204
2018-08-01,13.769600,14.455100,8.662660,11.013800,11.013800,1080238800
2018-09-01,11.026600,11.542300,9.037310,10.017800,10.017800,676271200
2018-10-01,10.009700,10.745700,9.236510,9.364960,9.364960,902085300
2018-11-01,9.371310,9.883880,4.442230,5.078572,5.078572,521131924
2018-12-01,5.086695,6.585201,4.189971,6.164732,6.164732,710189473
2019-01-01,6.191432,7.246770,5.493421,6.268436,6.268436,1319676346
2019-02-01,6.264142,11.323774,6.172295,10.365178,10.365178,2642216746
2019-03-01,10.356931,17.568340,10.325634,17.401670,17.401670,5192234361
2019-04-01,17.410639,25.533409,16.589216,22.127836,22.127836,6674483778
2019-05-01,22.134750,35.504501,18.467089,32.748165,32.748165,12227898498
2019-06-01,32.747639,39.566536,29.183624,32.442482,32.442482,13135494233
2019-07-01,32.442482,34.313126,24.903645,27.644558,27.644558,9419361440
2019-08-01,27.622198,31.301611,21.190308,21.265915,21.265915,6862254389
2019-09-01,21.258728,23.535213,14.841279,15.862675,15.862675,5460324596
2019-10-01,15.882751,20.917786,15.191024,20.000233,20.000233,6832110017
2019-11-01,19.994114,21.635714,14.195353,15.715951,15.715951,7004616766
2019-12-01,15.743181,16.077770,12.183731,13.727642,13.727642,6041930781
2020-01-01,13.730962,18.840961,12.989974,18.210979,18.210979,7200613777
2020-02-01,18.202803,27.117456,17.824158,19.584091,19.584091,11910578745
2020-03-01,19.574615,21.701672,6.963391,12.581606,12.581606,11037850343
2020-04-01,12.581606,18.129528,12.057843,17.033976,17.033976,12590980024
2020-05-01,17.046522,18.108484,14.284380,17.040472,17.040472,10714129554
2020-06-01,17.069530,18.156345,15.020651,15.413582,15.413582,6045042589
2020-07-01,15.409456,20.838476,15.245029,20.668146,20.668146,6223574246
2020-08-01,20.668146,23.914165,19.972687,23.193050,23.193050,7968315650
2020-09-01,23.185047,33.487820,18.183708,29.290876,29.290876,16519091220
2020-10-01,29.321781,32.345070,25.894030,28.431215,28.431215,15356628816
2020-11-01,28.431215,35.282307,25.897152,31.392786,31.392786,11234149914
2020-12-01,31.411509,39.484234,26.765226,37.376034,37.376034,13047859902
2021-01-01,37.374573,47.098103,35.170883,44.275993,44.275993,18898999513
2021-02-01,44.309074,342.879608,43.524193,209.574402,209.574402,122028876493
2021-03-01,209.951309,316.486542,209.951309,302.063446,302.063446,109661910015
2021-04-01,302.245483,637.442322,301.588654,624.080566,624.080566,178737768744
2021-05-01,622.469299,690.931946,213.516464,354.329346,354.329346,146862616411
2021-06-01,353.782532,432.308105,226.297836,303.295868,303.295868,79211167226
2021-07-01,303.527374,339.167664,255.850754,333.549591,333.549591,49749767961
2021-08-01,332.292694,518.756348,318.062836,464.418732,464.418732,66760825277
2021-09-01,464.272919,510.057648,320.368744,387.057343,387.057343,59925799119
2021-10-01,387.635986,539.938843,382.131378,524.364441,524.364441,64570070639
2021-11-01,524.738220,669.345825,512.176270,622.669861,622.669861,80405088661
2021-12-01,621.812866,650.253174,495.132263,511.708313,511.708313,63870991050
2022-01-01,511.910370,533.371033,337.853943,375.277313,375.277313,84104399663
2022-02-01,375.099182,444.288605,324.483673,395.612427,395.612427,47693175772
2022-03-01,395.624115,451.961090,360.301849,428.916107,428.916107,54068965963
2022-04-01,429.124023,459.805573,377.767822,377.767822,377.767822,55167230563
2022-05-01,377.765656,412.400360,216.361496,320.485107,320.485107,63775385603
2022-06-01,320.472015,323.885071,184.540054,219.300095,219.300095,38608308080
2022-07-01,219.528992,301.209686,213.665634,283.579468,283.579468,39049264274
2022-08-01,283.629486,336.283691,272.805969,279.238098,279.238098,38209345752
2022-09-01,279.251343,299.176300,257.186829,284.192291,284.192291,25812104854
2022-10-01,284.273407,336.795319,257.974518,326.360718,326.360718,24373827093
2022-11-01,326.277863,388.715515,250.656937,307.429291,307.429291,39571903226
2022-11-30,296.180939,304.418701,296.180939,304.031921,304.031921,1015686336
