Date,Open,High,Low,Close,Adj Close,Volume
2018-11-01,0.996413,1.061390,0.982746,1.010397,1.010397,366217154
2018-12-01,1.012818,1.042865,0.978583,1.016565,1.016565,671768016
2019-01-01,1.018946,1.044892,0.989169,1.012485,1.012485,672431609
2019-02-01,1.011765,1.037758,0.998658,1.013673,1.013673,925648921
2019-03-01,1.013117,1.049149,0.992955,1.001494,1.001494,913253036
2019-04-01,1.001394,1.024855,0.989150,1.015304,1.015304,1563438116
2019-05-01,1.015209,1.023725,0.982583,1.001047,1.001047,5512744778
2019-06-01,1.000655,1.039043,0.991834,1.003192,1.003192,3787835893
2019-07-01,1.003192,1.017974,0.985636,1.001693,1.001693,3739777833
2019-08-01,1.001615,1.028490,0.986852,1.003442,1.003442,4100986251
2019-09-01,1.003456,1.055047,0.990057,1.001386,1.001386,5760231702
2019-10-01,1.000684,1.040577,0.967926,1.004975,1.004975,6232813541
2019-11-01,1.005261,1.031532,0.985044,0.997658,0.997658,7694717146
2019-12-01,0.997869,1.034401,0.981535,1.003730,1.003730,8817167456
2020-01-01,1.003730,1.051868,0.988455,1.028374,1.028374,11241648392
2020-02-01,1.028595,1.046798,0.991505,1.004586,1.004586,23027764028
2020-03-01,1.004780,1.079099,0.929222,1.001334,1.001334,29193377406
2020-04-01,1.001334,1.014921,0.966787,1.001821,1.001821,21016825455
2020-05-01,1.001821,1.017557,0.962439,1.002469,1.002469,16411070218
2020-06-01,1.002180,1.012613,0.982529,0.999703,0.999703,8876849121
2020-07-01,0.999958,1.013069,0.991875,1.006483,1.006483,8800937271
2020-08-01,1.006483,1.020435,0.992635,1.003909,1.003909,11521454451
2020-09-01,1.003649,1.041002,0.988464,1.000564,1.000564,13156006031
2020-10-01,1.000566,1.002574,0.996671,1.000278,1.000278,15574518954
2020-11-01,1.000278,1.001304,0.989995,1.000192,1.000192,16605902464
2020-12-01,1.000192,1.008943,0.992177,0.999807,0.999807,23623283814
2021-01-01,0.999807,1.003255,0.997097,0.999961,0.999961,54942959485
2021-02-01,1.000071,1.003368,0.998184,1.000296,1.000296,60486706087
2021-03-01,1.000266,1.003989,0.998666,0.999605,0.999605,49639609600
2021-04-01,0.999691,1.026529,0.998100,0.999824,0.999824,59773913981
2021-05-01,0.999807,1.001824,0.998055,1.000264,1.000264,100245805071
2021-06-01,1.000283,1.010242,0.999374,1.000089,1.000089,66595724209
2021-07-01,1.000065,1.001252,0.998855,0.999847,0.999847,66086824740
2021-08-01,0.999745,1.001275,0.999120,1.000214,1.000214,85569769249
2021-09-01,1.000228,1.001716,0.987380,1.000140,1.000140,99555252433
2021-10-01,1.000100,1.001315,0.998909,0.999724,0.999724,105845355818
2021-11-01,0.999632,2.349556,0.998001,0.999456,0.999456,143635172663
2021-12-01,1.000206,1.001999,0.998004,1.000039,1.000039,138814728838
2022-01-01,1.000083,1.001356,0.998853,0.999539,0.999539,161310082888504
2022-02-01,0.999520,1.001153,0.997991,0.999853,0.999853,108285072232
2022-03-01,0.999840,1.001521,0.997745,0.999447,0.999447,121684714786
2022-04-01,0.999516,1.002028,0.997316,1.000295,1.000295,114780310827
2022-05-01,1.000279,1.011434,0.999253,1.000210,1.000210,190251976980
2022-06-01,1.000216,1.001340,0.999501,0.999914,0.999914,163899827856
2022-07-01,1.000090,1.000865,0.999210,0.999797,0.999797,191380831899
2022-08-01,0.999758,1.000686,0.999145,1.000028,1.000028,208225593122
2022-09-01,1.000055,1.000693,0.999349,1.000066,1.000066,162516522069
2022-10-01,1.000042,1.000732,0.999442,0.999996,0.999996,106932607751
2022-11-01,1.000012,1.007330,0.998710,1.000141,1.000141,112185701758
2022-11-30,1.000118,1.000539,1.000065,1.000457,1.000457,3099574272
