Date,Open,High,Low,Close,Adj Close,Volume
2015-03-01,0.571249,1.000000,0.568314,1.000000,1.000000,278991
2015-04-01,1.000000,1.000000,1.000000,1.000000,1.000000,634383
2015-05-01,1.000000,1.000000,1.000000,1.000000,1.000000,353074
2015-06-01,1.000000,1.000000,1.000000,1.000000,1.000000,2671427
2015-07-01,1.000000,1.000000,1.000000,1.000000,1.000000,2386954
2015-08-01,1.000000,1.000000,1.000000,1.000000,1.000000,1436434
2015-09-01,1.000000,1.000000,1.000000,1.000000,1.000000,1484595
2015-10-01,1.000000,1.000000,1.000000,1.000000,1.000000,1977271
2015-11-01,1.000000,1.000000,1.000000,1.000000,1.000000,3220336
2015-12-01,1.000000,1.000390,0.999454,1.000000,1.000000,2112647
2016-01-01,1.000000,1.002550,0.999692,0.999999,0.999999,1788135
2016-02-01,0.999999,1.001070,0.999664,1.000020,1.000020,3622335
2016-03-01,1.000020,1.000320,0.999822,1.000000,1.000000,5753109
2016-04-01,1.000000,1.000810,0.999516,1.000000,1.000000,6798157
2016-05-01,1.000000,1.006500,0.999999,1.000000,1.000000,24858458
2016-06-01,1.000000,1.000010,0.999932,1.000000,1.000000,51090603
2016-07-01,1.000000,1.000190,0.999963,0.999963,0.999963,28629458
2016-08-01,0.999962,1.001070,0.962058,1.000000,1.000000,45068932
2016-09-01,1.000000,1.001010,0.999888,1.000000,1.000000,26136702
2016-10-01,1.000000,1.000000,0.999997,1.000000,1.000000,18317797
2016-11-01,1.000000,1.000000,0.999997,1.000000,1.000000,29524784
2016-12-01,1.000000,1.000570,0.999954,1.000010,1.000010,34218109
2017-01-01,1.000010,1.000590,0.999979,0.999997,0.999997,106403615
2017-02-01,0.999997,1.001790,0.849809,0.999970,0.999970,85492340
2017-03-01,0.999972,1.000380,0.999831,1.000000,1.000000,631852200
2017-04-01,1.000020,1.001290,0.913539,0.936854,0.936854,627975470
2017-05-01,0.936855,1.209810,0.919398,1.036280,1.036280,2083012216
2017-06-01,1.035670,1.090000,0.951189,1.005830,1.005830,3086254096
2017-07-01,1.010400,1.039710,0.969665,1.000920,1.000920,3692802796
2017-08-01,1.002780,1.036140,0.955404,1.003120,1.003120,4443483192
2017-09-01,1.004050,1.050770,0.966404,0.996488,0.996488,6281031904
2017-10-01,0.997266,1.018910,0.981165,1.000710,1.000710,5572326440
2017-11-01,1.010870,1.105910,0.955618,1.008100,1.008100,16078199040
2017-12-01,1.007200,1.088000,0.963089,1.012260,1.012260,62323380736
2018-01-01,1.012550,1.069890,0.971403,0.990274,0.990274,94125940224
2018-02-01,0.991558,1.048180,0.925144,0.998903,0.998903,82122949376
2018-03-01,0.999847,1.024120,0.979633,1.000770,1.000770,69470580224
2018-04-01,0.995702,1.020590,0.980778,0.998919,0.998919,82816740224
2018-05-01,1.000250,1.019340,0.982905,0.998003,0.998003,99840139776
2018-06-01,0.999088,1.026370,0.971736,0.999192,0.999192,78849599616
2018-07-01,0.997323,1.014180,0.979782,0.999507,0.999507,88489050032
2018-08-01,0.999215,1.026230,0.978541,1.003510,1.003510,87850790000
2018-09-01,1.001700,1.033310,0.964570,1.000360,1.000360,88885410000
2018-10-01,0.996818,1.017550,0.925284,0.988122,0.988122,75245880000
2018-11-01,0.987386,1.017880,0.945723,0.991823,0.991823,107112140093
2018-12-01,0.994961,1.048695,0.982076,1.013722,1.013722,122914154203
2019-01-01,1.015285,1.048181,1.004127,1.006490,1.006490,122435219243
2019-02-01,1.004796,1.049116,0.986769,1.010067,1.010067,169678094744
2019-03-01,1.009786,1.053421,0.993254,1.000559,1.000559,263042913080
2019-04-01,1.000573,1.038206,0.974206,1.006049,1.006049,427867940599
2019-05-01,1.006174,1.030330,0.976610,1.003473,1.003473,676932168887
2019-06-01,1.003036,1.021251,0.970494,0.992487,0.992487,659657816707
2019-07-01,0.991538,1.021221,0.976975,1.003750,1.003750,698516179294
2019-08-01,1.003555,1.020618,0.988811,1.003744,1.003744,563289322870
2019-09-01,1.003919,1.057203,0.993680,1.004109,1.004109,568829147185
2019-10-01,1.003036,1.035239,0.969353,1.006419,1.006419,726654091926
2019-11-01,1.006538,1.030667,0.981392,1.001703,1.001703,753703071430
2019-12-01,1.001817,1.044161,0.979262,0.999679,0.999679,728718380312
2020-01-01,0.999571,1.025912,0.986515,1.000648,1.000648,1074150362820
2020-02-01,1.000252,1.030959,0.989398,1.006368,1.006368,1477355778551
2020-03-01,1.006340,1.084802,0.899490,1.003027,1.003027,1642536485841
2020-04-01,1.003599,1.024637,0.974215,1.005112,1.005112,1512563797766
2020-05-01,1.003174,1.060485,0.971167,0.998033,0.998033,1543044637266
2020-06-01,0.999601,1.035309,0.985651,0.999904,0.999904,779027836637
2020-07-01,0.999646,1.020263,0.990576,1.000141,1.000141,720591681619
2020-08-01,0.999884,1.056373,0.991539,1.003191,1.003191,1115528591603
2020-09-01,1.003056,1.029082,0.990326,1.001364,1.001364,1443032041952
2020-10-01,1.001506,1.003311,0.999741,1.000200,1.000200,1300355203965
2020-11-01,1.000200,1.002408,0.998021,1.000377,1.000377,1749997794083
2020-12-01,1.000369,1.002178,0.996489,1.000598,1.000598,1934238119373
2021-01-01,1.000614,1.003223,0.993953,1.000808,1.000808,3437396409719
2021-02-01,1.000838,1.003143,0.997413,1.002115,1.002115,3714292734446
2021-03-01,1.002087,1.004104,0.998700,1.000020,1.000020,2768530162619
